,회사명,KCGS_종합등급,KCGS_환경,KCGS_사회,KCGS_지배구조,한국ESG연구소,Moody's,MSCI,S&P,연도
1118,락앤락,C,C,C,B+,-,-,-,3,2021
1119,락앤락,B,B,B+,B,-,-,-,12,2022
1120,락앤락,B,B,B+,B,-,-,-,12,2023
1121,롯데관광개발,C,D,B,C,-,-,-,-,2020
1122,롯데관광개발,C,D,B,C,-,-,-,-,2020
1123,롯데관광개발,B,D,B,B,B,-,-,3,2021
1124,롯데관광개발,D,D,C,D,B,-,-,3,2022
1125,롯데손해보험,B+,C,A,A,-,-,-,-,2020
1126,롯데손해보험,A,B,A+,A,-,-,-,7,2021
1127,롯데손해보험,B+,B,B+,B+,-,-,-,6,2022
1128,롯데손해보험,B+,B,B+,B+,-,-,-,6,2023
1129,롯데쇼핑,A,A,A+,A,-,-,B,-,2020
1130,롯데쇼핑,A,A,A+,A,B+,-,BB,8,2021
1131,롯데쇼핑,A,A,A+,A,A,29,BB,7,2022
1132,롯데쇼핑,A,A,A+,A,A,37,BB,7,2023
1133,롯데에너지머티리얼즈,C,B,C,C,-,-,-,-,2020
1134,롯데에너지머티리얼즈,C,C,C,B,B,-,CCC,3,2021
1135,롯데에너지머티리얼즈,D,D,D,D,B,-,CCC,5,2022
1136,롯데에너지머티리얼즈,D,D,D,D,B+,-,CCC,5,2023
1137,롯데웰푸드,A,A,A+,B+,-,-,-,-,2020
1138,롯데웰푸드,A,A,A,A,-,-,-,21,2021
1139,롯데웰푸드,A,B,A,A,-,31,-,24,2022
1140,롯데웰푸드,A,B,A,A,A,31,-,24,2023
1141,롯데정밀화학,A,A,A+,A,-,-,-,-,2020
1142,롯데정밀화학,A,A,A+,A,A+,-,-,20,2021
1143,롯데정밀화학,A,A,A+,A,A+,35,-,31,2022
1144,롯데정밀화학,A,A,A+,A,A+,35,-,31,2023
1145,롯데정보통신,A,B+,A,A,-,-,-,-,2020
1146,롯데정보통신,A,A,A,A,-,-,-,-,2021
1147,롯데정보통신,A,A,A,A,-,-,-,-,2022
1148,롯데정보통신,A,A,A,A,-,-,-,-,2023
1149,롯데지주,B+,B,A,B,-,-,BB,-,2020
1150,롯데지주,A,B+,A+,A,A,-,BB,4,2021
1151,롯데지주,A,A,A+,B+,A,-,BB,22,2022
1152,롯데지주,A,A,A+,B+,B+,-,BB,22,2023
1153,롯데칠성음료,B+,B+,A,B+,-,-,-,3,2020
1154,롯데칠성음료,A,B+,A+,A,A,-,-,3,2021
1155,롯데칠성음료,B+,A,A,B,A,28,-,31,2022
1156,롯데칠성음료,B+,A,A,B,A,28,-,31,2023
1157,롯데케미칼,B+,B,A,A,-,-,BB,-,2020
1158,롯데케미칼,A,B,A+,A,A,-,BBB,35,2021
1159,롯데케미칼,A,B+,A+,A,A+,33,BBB,36,2022
1160,롯데케미칼,A,B+,A+,A,A,33,BBB,36,2023
1161,롯데푸드,A,B+,A,A,-,-,-,-,2021
1162,롯데푸드,A,B+,A,A,-,-,-,-,2022
1163,롯데푸드,A,B+,A,A,-,-,-,-,2022
1164,롯데푸드,A,B+,A,A,-,-,-,-,2023
1165,롯데하이마트,A,B+,A+,A,-,-,-,-,2020
1166,롯데하이마트,A,A,A+,A,-,-,-,24,2021
1167,롯데하이마트,A,A,A+,A,-,-,-,26,2022
1168,롯데하이마트,A,A,A+,A,-,-,-,26,2023
1169,마니커,C,D,B+,C,-,-,-,-,2020
1170,마니커,C,D,B,B,-,-,-,-,2021
1171,마니커,D,D,D,D,-,-,-,-,2022
1172,마니커,D,D,D,D,-,-,-,-,2023
1173,만호제강,C,C,B,B,-,-,-,-,2020
1174,만호제강,C,C,C,B+,-,-,-,-,2021
1175,만호제강,C,D,C,B+,-,-,-,-,2022
1176,만호제강,C,D,C,B+,-,-,-,-,2023
1177,맵스리얼티1,-,-,-,-,-,-,-,-,2020
1178,맵스리얼티1,-,-,-,-,-,-,-,1,2021
1179,맵스리얼티1,-,-,-,-,-,-,-,1,2022
1180,맵스리얼티1,-,-,-,-,-,-,-,1,2023
1181,메리츠금융지주,B+,D,B+,A,-,-,-,-,2020
1182,메리츠금융지주,B+,D,B+,A,B+,-,-,1,2021
1183,메리츠금융지주,B,C,C,B+,B+,-,-,7,2022
1184,메리츠금융지주,B,C,C,B+,B+,-,CCC,7,2023
1185,메리츠증권,B+,B,A,B+,-,-,B,-,2020
1186,메리츠증권,B+,C,A,B+,A,-,CCC,21,2021
1187,메리츠증권,B+,C,A,B+,B+,23,CCC,19,2022
1188,메리츠증권,B+,C,A,B+,B+,23,CCC,19,2023
1189,메리츠화재,B,D,B+,B+,-,-,-,-,2020
1190,메리츠화재,B,D,B+,B+,-,-,-,5,2021
1191,메리츠화재,B,C,B,B+,B+,-,CCC,8,2022
1192,메리츠화재,B,C,B,B+,B+,-,CCC,8,2023
1193,메타랩스,C,D,B,B,-,-,-,-,2020
1194,메타랩스,C,D,C,B+,-,-,-,-,2021
1195,메타랩스,D,D,D,D,-,-,-,-,2022
1196,메타랩스,D,D,D,D,-,-,-,-,2023
1197,명문제약,C,D,B,B,-,-,-,-,2020
1198,명문제약,B,D,B,B+,-,-,-,-,2021
1199,명문제약,D,D,D,C,-,-,-,-,2022
1200,명문제약,D,D,D,C,-,-,-,-,2023
1201,명신산업,-,-,-,-,-,-,-,-,2020
1202,명신산업,-,-,-,-,C,-,-,-,2021
1203,명신산업,D,D,D,D,C,-,-,-,2023
1204,모나리자,B,B,B,B,-,-,-,-,2020
1205,모나리자,B,B,C,B,-,-,-,-,2021
1206,모나리자,D,D,C,D,-,-,-,-,2022
1207,모나리자,D,D,C,D,-,-,-,-,2023
1208,모나미,C,D,C,B,-,-,-,-,2020
1209,모나미,C,D,C,B,-,-,-,-,2021
1210,모나미,D,D,D,D,-,-,-,-,2022
1211,모나미,D,D,D,D,-,-,-,-,2023
1212,모토닉,B,B,B,B,-,-,-,-,2020
1213,모토닉,B,B,B,B+,-,-,-,-,2021
1214,모토닉,B,C,B,B+,-,-,-,-,2022
1215,모토닉,B,C,B,B+,-,-,-,-,2023
1216,무림P&P,B+,B+,B+,B+,-,-,-,-,2020
1217,무림P&P,A,B+,A,A,-,-,-,-,2021
1218,무림P&P,B+,B,A,B+,-,-,-,5,2022
1219,무림P&P,B+,B,A,B+,-,-,-,5,2023
1220,무림페이퍼,B+,B+,B+,B+,-,-,-,-,2020
1221,무림페이퍼,A,B+,B+,A,-,-,-,-,2021
1222,무림페이퍼,B,B,B+,B,-,-,-,-,2022
1223,무림페이퍼,B,B,B+,B,-,-,-,-,2023
1224,무학,C,B,C,C,-,-,-,-,2020
1225,무학,B,D,B,B+,-,-,-,-,2021
1226,무학,C,D,C,B,-,-,-,3,2022
1227,무학,C,D,C,B,-,-,-,3,2023
1228,문배철강,C,D,C,B,-,-,-,-,2020
1229,문배철강,C,D,C,B,-,-,-,-,2021
1230,문배철강,D,D,D,C,-,-,-,-,2022
1231,문배철강,D,D,D,C,-,-,-,-,2023
1232,미래산업,B,B,C,B,-,-,-,-,2020
1233,미래산업,C,C,C,C,-,-,-,-,2021
1234,미래산업,D,D,D,D,-,-,-,3,2022
1235,미래산업,D,D,D,D,-,-,-,3,2023
1236,미래아이앤지,C,D,C,C,-,-,-,-,2020
1237,미래아이앤지,C,D,C,C,-,-,-,-,2021
1238,미래아이앤지,D,D,D,D,-,-,-,-,2022
1239,미래아이앤지,D,D,D,D,-,-,-,-,2023
1240,미래에셋생명,B,D,B+,B,-,-,-,-,2020
1241,미래에셋생명,B+,C,A+,B+,-,-,-,3,2021
1242,미래에셋생명,B+,B,A,B+,-,-,-,5,2022
1243,미래에셋생명,B+,B,A,B+,-,-,-,5,2023
1244,미래에셋증권,A,B+,A+,B+,-,-,BBB,-,2020
1245,미래에셋증권,B+,A,A+,B,A,-,BBB,74,2021
1246,미래에셋증권,A,A,A+,B+,A,43,A,76,2022
1247,미래에셋증권,A,A,A+,B+,A,43,A,76,2023
1248,미원상사,C,D,B,B,-,-,-,-,2020
1249,미원상사,C,C,D,B,-,-,-,-,2021
1250,미원상사,C,C,D,C,-,-,-,-,2022
1251,미원상사,C,C,D,C,-,-,-,-,2023
1252,미원에스씨,C,C,C,B,-,-,-,-,2020
1253,미원에스씨,C,C,C,B+,-,-,-,-,2021
1254,미원에스씨,C,C,C,B,-,-,-,-,2022
1255,미원에스씨,C,C,C,B,-,-,-,-,2023
1256,미원홀딩스,C,C,C,C,-,-,-,-,2020
1257,미원홀딩스,C,C,C,B,-,-,-,-,2021
1258,미원홀딩스,C,C,C,B,-,-,-,-,2022
1259,미원홀딩스,C,C,C,B,-,-,-,-,2023
1260,미원화학,C,C,C,C,-,-,-,-,2020
1261,미원화학,C,C,C,B+,-,-,-,-,2021
1262,미원화학,C,C,D,C,-,-,-,-,2022
1263,미원화학,C,C,D,C,-,-,-,-,2023
1264,미창석유공업,C,C,C,B,-,-,-,-,2020
1265,미창석유공업,C,C,C,B,-,-,-,-,2021
1266,미창석유공업,C,D,D,B,-,-,-,-,2022
1267,미창석유공업,C,D,D,B,-,-,-,-,2023
1268,방림,B,B,C,B,-,-,-,-,2020
1269,방림,C,C,C,B+,-,-,-,-,2021
1270,방림,D,D,D,C,-,-,-,-,2022
1271,방림,D,D,D,C,-,-,-,-,2023
1272,백광산업,C,B,C,D,-,-,-,-,2020
1273,백광산업,B,B,C,B,-,-,-,-,2021
1274,백광산업,D,C,D,D,-,-,-,-,2022
1275,백광산업,D,C,D,D,-,-,-,-,2023
1276,백산,C,C,B,B,-,-,-,-,2020
1277,백산,C,C,B,B,-,-,-,-,2021
1278,백산,D,D,D,D,-,-,-,-,2022
1279,백산,D,D,D,D,-,-,-,-,2023
1280,범양건영,C,D,C,B,-,-,-,-,2020
1281,범양건영,C,D,B,C,-,-,-,-,2021
1282,범양건영,D,D,C,D,-,-,-,-,2022
1283,범양건영,D,D,C,D,-,-,-,-,2023
1284,벽산,C,B,B,C,-,-,-,-,2020
1285,벽산,B,B+,B,B,-,-,-,-,2021
1286,벽산,D,C,C,D,-,-,-,4,2022
1287,벽산,D,C,C,D,-,-,-,4,2023
1288,보락,C,D,C,B,-,-,-,-,2020
1289,보락,C,D,C,B,-,-,-,-,2021
1290,보락,D,D,D,D,-,-,-,-,2022
1291,보락,D,D,D,D,-,-,-,-,2023
1292,보령,C,D,B,B,-,-,-,-,2020
1293,보령,B+,B,A,B+,B+,-,-,6,2021
1294,보령,B+,B+,A,B,A,-,-,6,2022
1295,보령,B+,B+,A,B,B+,-,-,6,2023
1296,보해양조,B,B,B,B,-,-,-,-,2020
1297,보해양조,C,D,C,B,-,-,-,-,2021
1298,보해양조,D,D,D,C,-,-,-,-,2022
1299,보해양조,D,D,D,C,-,-,-,-,2023
1300,부광약품,C,D,C,B,-,-,-,-,2020
1301,부광약품,C,D,D,B+,B,-,-,2,2021
1302,부광약품,C,D,D,B,B,-,-,6,2022
1303,부광약품,C,D,D,B,B,-,-,6,2023
1304,부국증권,B,D,B,B,-,-,-,-,2020
1305,부국증권,C,D,B,C,-,-,-,-,2021
1306,부국증권,C,D,C,B,-,-,-,-,2022
1307,부국증권,C,D,C,B,-,-,-,-,2023
1308,부국철강,D,D,C,C,-,-,-,-,2020
1309,부국철강,C,D,C,B,-,-,-,-,2021
1310,부국철강,D,D,D,D,-,-,-,-,2022
1311,부국철강,D,D,D,D,-,-,-,-,2023
1312,부산산업,D,D,C,C,-,-,-,-,2020
1313,부산산업,C,D,D,B,-,-,-,-,2021
1314,부산산업,C,D,D,B,-,-,-,-,2022
1315,부산산업,C,D,D,B,-,-,-,-,2023
1316,부산주공,C,B,C,C,-,-,-,-,2020
1317,부산주공,C,B,D,B,-,-,-,-,2021
1318,부산주공,D,D,D,D,-,-,-,-,2022
1319,부산주공,D,D,D,D,-,-,-,-,2023
1320,비비안,C,D,B,B,-,-,-,-,2020
1321,비비안,D,D,C,C,-,-,-,-,2021
1322,비비안,D,D,D,D,-,-,-,-,2022
1323,비비안,D,D,D,D,-,-,-,-,2023
1324,비상교육,B,D,B+,B,-,-,-,-,2020
1325,비상교육,B,D,B+,B+,-,-,-,-,2021
1326,비상교육,B,D,B,B,-,-,-,-,2022
1327,비상교육,B,D,B,B,-,-,-,-,2023
1328,비에이치,D,D,C,C,-,-,-,-,2020
1329,비에이치,B+,B+,B+,B+,-,-,-,7,2021
1330,비에이치,B+,B+,B+,B+,-,-,-,7,2022
1331,비에이치,B+,B+,B+,B+,-,-,-,7,2023
1332,비케이탑스,C,D,B,D,-,-,-,-,2020
1333,비케이탑스,C,D,C,C,-,-,-,-,2021
1334,비케이탑스,D,D,D,D,-,-,-,-,2022
1335,비케이탑스,D,D,D,D,-,-,-,-,2023
1336,빙그레,A,B+,A+,A,-,-,-,-,2020
1337,빙그레,A,A,A+,A,-,-,-,9,2021
1338,빙그레,A,A,A,B+,-,-,-,18,2022
1339,빙그레,A,A,A,B+,-,-,-,18,2023
1340,사조대림,C,D,B,B,-,-,-,-,2020
1341,사조대림,B+,C,A,B+,-,-,-,-,2021
1342,사조대림,C,B,B,D,-,-,-,-,2022
1343,사조대림,C,B,B,D,-,-,-,-,2023
1344,사조동아원,C,D,C,B,-,-,-,-,2020
1345,사조동아원,B,C,B,B+,-,-,-,-,2021
1346,사조동아원,C,C,B+,C,-,-,-,-,2022
1347,사조동아원,C,C,B+,C,-,-,-,-,2023
1348,사조산업,D,D,C,D,-,-,-,-,2020
1349,사조산업,B,C,B,B+,-,-,-,1,2021
1350,사조산업,C,C,B,D,-,-,-,3,2022
1351,사조산업,C,C,B,D,-,-,-,3,2023
1352,사조씨푸드,C,D,B,B,-,-,-,-,2020
1353,사조씨푸드,B,C,B+,B+,-,-,-,-,2021
1354,사조씨푸드,C,D,B,B,-,-,-,-,2022
1355,사조씨푸드,C,D,B,B,-,-,-,-,2023
1356,사조오양,C,D,B,C,-,-,-,-,2020
1357,사조오양,C,D,B,C,-,-,-,-,2021
1358,사조오양,C,C,B,D,-,-,-,-,2022
1359,사조오양,C,C,B,D,-,-,-,-,2023
1360,삼부토건,C,C,B,B,-,-,-,-,2020
1361,삼부토건,C,C,D,B+,-,-,-,-,2021
1362,삼부토건,D,D,D,C,-,-,-,-,2022
1363,삼부토건,D,D,D,C,-,-,-,-,2023
1364,삼성SDI,A,A,A,B+,-,-,A,-,2020
1365,삼성SDI,A,A,A+,B+,A+,-,A,75,2021
1366,삼성SDI,A,A,A+,B+,A+,32,A,77,2022
1367,삼성SDI,A,A,A+,B+,A+,42,A,77,2023
1368,삼성공조,C,C,C,B,-,-,-,-,2020
1369,삼성공조,C,C,C,B,-,-,-,-,2021
1370,삼성공조,C,D,C,B,-,-,-,-,2022
1371,삼성공조,C,D,C,B,-,-,-,-,2023
1372,삼성물산,A,A+,A,B+,-,-,BBB,-,2020
1373,삼성물산,A,A,A+,A,A,-,A,70,2021
1374,삼성물산,A,A,A,A,A+,39,A,75,2022
1375,삼성물산,A,A,A,A,A+,39,A,75,2023
1376,삼성바이오로직스,B+,B,A,B+,-,-,BB,-,2020
1377,삼성바이오로직스,A,A,A+,A,B+,-,B,56,2021
1378,삼성바이오로직스,A,A,A+,A,A,24,B,65,2022
1379,삼성바이오로직스,A,A,A+,A,A,24,B,65,2023
1380,삼성생명,B+,A,A,B+,-,-,BBB,-,2020
1381,삼성생명,A,A,A+,B+,B+,-,BBB,41,2021
1382,삼성생명,A,A,A+,B+,A,17,A,60,2022
1383,삼성생명,A,A,A+,B+,A,17,A,60,2023
1384,삼성에스디에스,A,B+,A+,A,-,-,A,-,2020
1385,삼성에스디에스,A,A,A+,A,A+,-,A,76,2021
1386,삼성에스디에스,A,A,A+,A,A,35,A,85,2022
1387,삼성에스디에스,A,A,A+,A,A,42,BBB,85,2023
1388,삼성엔지니어링,A,A,A+,A,-,-,BB,-,2020
1389,삼성엔지니어링,A,A,A+,A,A+,-,BBB,68,2021
1390,삼성엔지니어링,A,A,A+,B+,A,36,BBB,75,2022
1391,삼성엔지니어링,A,A,A+,B+,A,38,A,75,2023
1392,삼성전기,A,A,A+,B+,-,-,BBB,-,2020
1393,삼성전기,A,A,A+,B+,S,-,BBB,71,2021
1394,삼성전기,A,A,A+,A,S,40,A,75,2022
1395,삼성전기,A,A,A+,A,S,41,A,75,2023
1396,삼성전자,B,A,A+,C,-,-,A,-,2020
1397,삼성전자,B+,A,A+,B,A,-,A,38,2021
1398,삼성전자,A,A,A+,B+,S,43,A,38,2022
1399,삼성전자,A,A,A+,B+,A+,43,A,38,2023
1400,삼성제약,C,B,C,D,-,-,-,-,2020
1401,삼성제약,C,D,C,B,-,-,-,6,2021
1402,삼성제약,D,D,D,D,-,-,-,6,2022
1403,삼성제약,D,D,D,D,-,-,-,6,2023
1404,삼성중공업,B+,B+,B,A,-,-,CCC,-,2020
1405,삼성중공업,B+,B,A,B+,A,-,CCC,51,2021
1406,삼성중공업,B+,B+,B+,B+,A,30,CCC,55,2022
1407,삼성중공업,B+,B+,B+,B+,B+,30,B,55,2023
1408,삼성증권,B+,B,A+,B,-,-,BBB,-,2020
1409,삼성증권,A,A,A+,B+,A,-,A,76,2021
1410,삼성증권,A,A,A+,B+,A,36,AA,76,2022
1411,삼성증권,A,A,A+,B+,A,36,AA,76,2023
1412,삼성출판사,C,D,C,B,-,-,-,-,2020
1413,삼성출판사,C,D,D,B+,-,-,-,-,2021
1414,삼성출판사,C,D,D,B+,-,-,-,-,2022
1415,삼성출판사,C,D,D,B+,-,-,-,-,2023
1416,삼성카드,B,D,B+,B+,-,-,A,-,2020
1417,삼성카드,A,A+,A+,A,A,-,A,10,2021
1418,삼성카드,A,A,A+,A,A,40,A,27,2022
1419,삼성카드,A,A,A+,A,A,40,A,27,2023
1420,삼성화재해상보험,A,A+,A+,A,-,-,A,-,2020
1421,삼성화재해상보험,A,A+,A+,B+,A,-,A,72,2021
1422,삼성화재해상보험,A,A,A,A,B+,45,A,79,2022
1423,삼성화재해상보험,A,A,A,A,B+,45,A,79,2023
1424,삼아알미늄,B,B,C,B,-,-,-,-,2020
1425,삼아알미늄,B,B,C,B+,-,-,-,-,2021
1426,삼아알미늄,C,D,D,B,-,-,-,-,2022
1427,삼아알미늄,C,D,D,B,-,-,-,-,2023
1428,삼양사,B+,B+,B+,B,-,-,-,-,2020
1429,삼양사,A,A,A,B+,-,-,-,4,2021
1430,삼양사,B+,B+,A,B,-,-,-,16,2022
1431,삼양사,B+,B+,A,B,-,-,-,16,2023
1432,삼양식품,B,B,B,B,-,-,-,-,2020
1433,삼양식품,A,A,A+,A,-,-,-,6,2021
1434,삼양식품,B+,A,A+,B,-,-,-,12,2022
1435,삼양식품,B+,A,A+,B,-,-,-,12,2023
1436,삼양통상,C,B,C,D,-,-,-,-,2020
1437,삼양통상,B,C,C,B+,-,-,-,-,2021
1438,삼양통상,C,D,D,B,-,-,-,-,2022
1439,삼양통상,C,D,D,B,-,-,-,-,2023
1440,삼양패키징,C,C,B+,C,-,-,-,-,2020
1441,삼양패키징,B+,B,B+,B+,-,-,-,-,2021
1442,삼양패키징,B,C,B+,B,-,-,-,-,2022
1443,삼양패키징,B,C,B+,B,-,-,-,-,2023
1444,삼양패키징,B,C,B+,B,-,-,-,-,2023
1445,삼양홀딩스,B+,B,B+,B+,-,-,-,-,2020
1446,삼양홀딩스,B+,A,A,B,A,-,-,5,2021
1447,삼양홀딩스,B+,B+,A,B,B+,-,-,18,2022
1448,삼양홀딩스,B+,B+,A,B,B+,-,-,18,2023
1449,삼양홀딩스,B+,B+,A,B,B+,-,-,18,2023
1450,삼영,C,B,C,C,-,-,-,-,2020
1451,삼영,B,B,C,B,-,-,-,-,2021
1452,삼영,C,C,D,C,-,-,-,-,2022
1453,삼영,C,C,D,C,-,-,-,-,2023
1454,삼영,C,C,D,C,-,-,-,-,2023
1455,삼영무역,C,D,C,C,-,-,-,-,2020
1456,삼영무역,B,D,C,B+,-,-,-,3,2021
1457,삼영무역,B,D,C,B+,-,-,-,5,2022
1458,삼영무역,B,D,C,B+,-,-,-,5,2023
1459,삼영무역,B,D,C,B+,-,-,-,5,2023
1460,삼영전자공업,B+,B+,B+,B,-,-,-,-,2020
1461,삼영전자공업,B,B,B,B+,-,-,-,-,2021
1462,삼영전자공업,C,C,D,C,-,-,-,8,2022
1463,삼영전자공업,C,C,D,C,-,-,-,8,2023
1464,삼원강재,B,B+,C,B,-,-,-,-,2020
1465,삼원강재,C,B,D,B,-,-,-,-,2021
1466,삼원강재,C,C,D,C,-,-,-,-,2022
1467,삼원강재,C,C,D,C,-,-,-,-,2023
1468,삼익THK,B+,B,B,B+,-,-,-,-,2020
1469,삼익THK,B+,B,B,B+,-,-,-,2,2021
1470,삼익THK,C,C,C,C,-,-,-,4,2022
1471,삼익THK,C,C,C,C,-,-,-,4,2023
1472,삼익악기,C,D,C,B,-,-,-,-,2020
1473,삼익악기,C,D,C,B+,-,-,-,-,2021
1474,삼익악기,D,C,D,D,-,-,-,-,2022
1475,삼익악기,D,C,D,D,-,-,-,-,2023
1476,삼일씨엔에스,B,C,B,B+,-,-,-,-,2020
1477,삼일씨엔에스,B,C,B,B+,-,-,-,-,2021
1478,삼일씨엔에스,D,D,D,D,-,-,-,-,2022
1479,삼일씨엔에스,D,D,D,D,-,-,-,-,2023
1480,삼일제약,B,D,B+,B,-,-,-,-,2020
1481,삼일제약,B,D,B,B+,-,-,-,-,2021
1482,삼일제약,D,D,D,C,-,-,-,-,2022
1483,삼일제약,D,D,D,C,-,-,-,-,2023
1484,삼정펄프,C,C,B,C,-,-,-,-,2020
1485,삼정펄프,C,C,D,B,-,-,-,-,2021
1486,삼정펄프,D,D,C,D,-,-,-,-,2022
1487,삼진제약,B,D,B+,B,-,-,-,-,2020
1488,삼진제약,B,D,B,B+,-,-,-,7,2021
1489,삼진제약,D,D,D,D,-,-,-,6,2022
1490,삼천리,B+,B+,A,B+,-,-,-,-,2020
1491,삼천리,B+,B,A,B+,-,-,-,3,2021
1492,삼천리,C,C,B+,C,-,-,-,6,2022
1493,삼호개발,D,D,C,C,-,-,-,-,2020
1494,삼호개발,C,D,D,B,-,-,-,-,2021
1495,삼호개발,B,C,B+,B,-,-,-,-,2022
1496,삼화왕관,B,B,C,B,-,-,-,-,2020
1497,삼화왕관,B,B,C,B,-,-,-,-,2021
1498,삼화왕관,D,D,D,D,-,-,-,-,2022
1499,삼화왕관,D,D,D,D,-,-,-,-,2023
1500,삼화전기,C,C,B,B,-,-,-,-,2020
1501,삼화전기,C,C,C,B,-,-,-,-,2021
1502,삼화전기,D,D,D,D,-,-,-,-,2022
1503,삼화전기,D,D,D,D,-,-,-,-,2023
1504,삼화전자공업,D,D,C,C,-,-,-,-,2020
1505,삼화전자공업,C,C,C,B,-,-,-,-,2021
1506,삼화전자공업,D,D,D,D,-,-,-,-,2022
1507,삼화전자공업,D,D,D,D,-,-,-,-,2023
1508,삼화콘덴서공업,B,B,B,B,-,-,-,-,2020
1509,삼화콘덴서공업,C,C,B,B,-,-,-,5,2021
1510,삼화콘덴서공업,D,D,C,D,-,-,-,6,2022
1511,삼화콘덴서공업,D,D,C,D,-,-,-,6,2023
1512,삼화페인트공업,B+,B,B+,B+,-,-,-,-,2020
1513,삼화페인트공업,B+,B+,B+,A,-,-,-,-,2021
1514,삼화페인트공업,B,C,B+,B+,-,-,-,-,2022
1515,삼화페인트공업,B,C,B+,B+,-,-,-,-,2023
1516,상상인증권,C,D,B,C,-,-,-,-,2020
1517,상상인증권,C,D,B,D,-,-,-,-,2021
1518,상상인증권,D,D,C,D,-,-,-,-,2022
1519,상상인증권,D,D,C,D,-,-,-,-,2023
1520,상신브레이크,B,B,B,B,-,-,-,-,2020
1521,상신브레이크,B,B,B,B,-,-,-,-,2021
1522,상신브레이크,D,D,C,C,-,-,-,-,2022
1523,상신브레이크,D,D,C,C,-,-,-,-,2023
1524,새론오토모티브,B,B,B,B,-,-,-,-,2020
1525,새론오토모티브,C,C,C,B,-,-,-,-,2021
1526,새론오토모티브,D,D,C,C,-,-,-,-,2022
1527,새론오토모티브,D,D,C,C,-,-,-,-,2023
1528,샘표,C,B,B+,C,-,-,-,-,2020
1529,샘표,B,B,B+,B,-,-,-,-,2021
1530,샘표,C,D,C,C,-,-,-,-,2022
1531,샘표,C,D,C,C,-,-,-,-,2023
1532,샘표식품,C,B,B+,C,-,-,-,-,2020
1533,샘표식품,B,B,B+,B,-,-,-,-,2021
1534,샘표식품,C,D,C,C,-,-,-,-,2022
1535,샘표식품,C,D,C,C,-,-,-,-,2023
1536,서연,B+,C,B+,B+,-,-,-,-,2020
1537,서연,B+,B+,A,B+,-,-,-,-,2021
1538,서연,B+,B,A,B,-,-,-,-,2022
1539,서연,B+,B,A,B,-,-,-,-,2023
1540,서연이화,B+,B,B+,B+,-,-,-,-,2020
1541,서연이화,A,B+,A,A,-,-,-,-,2021
1542,서연이화,B+,B,A,B+,-,-,-,-,2022
1543,서연이화,B+,B,A,B+,-,-,-,-,2023
1544,서울도시가스,B,C,B+,B,-,-,-,-,2020
1545,서울도시가스,B+,C,B+,A,-,-,-,-,2021
1546,서울도시가스,C,D,B,C,-,-,-,-,2022
1547,서울도시가스,C,D,B,C,-,-,-,-,2023
1548,서울식품공업,B,B,B,B,-,-,-,-,2020
1549,서울식품공업,B+,B,B,B+,-,-,-,-,2021
1550,서울식품공업,D,D,D,D,-,-,-,-,2022
1551,서울식품공업,D,D,D,D,-,-,-,-,2023
1552,서원,B,B,C,B,-,-,-,-,2020
1553,서원,B,B,C,B+,-,-,-,-,2021
1554,서원,C,C,D,C,-,-,-,-,2022
1555,서원,C,C,D,C,-,-,-,-,2023
1556,서흥,C,C,C,B,-,-,-,-,2020
1557,서흥,B,C,B,B+,-,-,-,7,2021
1558,서흥,B,C,B,B+,-,-,-,7,2022
1559,서흥,B,C,B,B+,-,-,-,7,2023
1560,선도전기,B,B,C,B,-,-,-,-,2020
1561,선도전기,C,C,C,B,-,-,-,-,2021
1562,선도전기,D,D,D,D,-,-,-,-,2022
1563,선도전기,D,D,D,D,-,-,-,-,2023
1564,선진,B,D,B,B+,-,-,-,-,2020
1565,선진,B+,B,A,B,-,-,-,5,2021
1566,선진,C,C,B+,C,-,-,-,4,2022
1567,선진,C,C,B+,C,-,-,-,4,2023
1568,성문전자,C,C,B,C,-,-,-,-,2020
1569,성문전자,C,C,C,C,-,-,-,-,2021
1570,성문전자,D,D,C,D,-,-,-,-,2022
1571,성문전자,D,D,C,D,-,-,-,-,2023
1572,성보화학,C,D,B,B,-,-,-,-,2020
1573,성보화학,B,D,B,B+,-,-,-,-,2021
1574,성보화학,D,D,C,C,-,-,-,-,2022
1575,성보화학,D,D,C,C,-,-,-,-,2023
1576,성신양회,C,B+,B,C,-,-,-,-,2020
1577,성신양회,B+,B+,B+,B+,-,-,-,16,2021
1578,성신양회,C,C,B,C,-,-,-,17,2022
1579,성신양회,C,C,B,C,-,-,-,17,2023
1580,성안,C,C,C,B,-,-,-,-,2020
1581,성안,D,D,C,C,-,-,-,-,2021
1582,성안,C,D,D,B,-,-,-,-,2022
1583,성안,C,D,D,B,-,-,-,-,2023
1584,성창기업지주,C,D,C,C,-,-,-,-,2020
1585,성창기업지주,C,D,C,C,-,-,-,-,2021
1586,성창기업지주,D,D,D,D,-,-,-,-,2022
1587,성창기업지주,D,D,D,D,-,-,-,-,2023
1588,세기상사,C,D,C,C,-,-,-,-,2020
1589,세기상사,C,D,C,B,-,-,-,-,2021
1590,세기상사,D,D,D,D,-,-,-,-,2022
1591,세기상사,D,D,D,D,-,-,-,-,2023
1592,세방,B+,B,B+,B+,-,-,-,-,2020
1593,세방,B,B,D,B+,-,-,-,-,2021
1594,세방,C,C,C,B,-,-,-,-,2022
